OS,FECHA,CODIGO,VARIEDAD,PROCESO,PRODUCTOR,CLIENTE,GC,RC,M,D,AW,%,Nº,VARIEDAD,PROCESO,PRODUCTOR,CODIGO PRODUCTOR,ORDEN,CLIENTE,FERMENTACION,DETALLE,PRECIO ,CODIGO LOTE,PC0,PC,HC0,HC,GC0,GC,RC0,RC
1,5/01/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,16,"13,44","14,00 %",,,"16,00%",1,GEISHA,NATURAL,ISAIAS LAGOS,ISLA,1,PANTIWAYTA,,,OVL 40,GE-NA-ISLA-1,"39,243",0,"39,243",0,"39,243","22,457","34,24","36,635"
2,5/01/2026,TI-NA-ABVI-ISSAC1,TIPICA,NATURAL,ABEL VILCAS,ISSAC,"19,485","16,855","12,00 %",,,"13,50%",2,BOURBON,LAVADO,ISAIAS LAGOS,ISLA,1,PANTIWAYTA,,,OVL 49,BO-LA-ISLA-1,"18,002",0,"18,002",0,"18,002","138,498","15,68","15,68"
3,5/01/2026,OB-HO-ABVI-ISSAC1,OBATA,HONEY,ABEL VILCAS,ISSAC,"5,535","4,925","10,00 %",,,"11,02%",3,GEISHA,LAVADO,ALFONSO YARANGA,ALYA,1,PANTIWAYTA,70H,,,GE-LA-ALYA-1,"29,71","88,15","29,71","8,795","29,71",-15,"25,75","25,75"
4,6/01/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"8,145","6,935","13,00 %",,,"14,86%",4,OBATA,LAVADO,ISAIAS LAGOS,ISLA,1,PANTIWAYTA,,,OVL 30,OB-LA-ISLA-1,"108,769","104,9","108,769",28,"108,769","-32,319","94,5","95,23"
5,12/01/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,"16,2",14,"13,00 %",,,"13,58%",5,CATIMOR,LAVADO,ALFONSO YARANGA,ALYA,1,PANTIWAYTA,,,,CA-LA-ALYA-1,"26,63",0,"26,63","78,45","26,63","-26,63","23,0425","25,3425"
P,12/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO CASTILLO,PANTIWAYTA,3,"2,615","10,00 %",,,"12,83%",6,CATIMOR,LAVADO,ISAIAS LAGOS,ISLA,1,PANTIWAYTA,,,P 17,CA-LA-ISLA-1,"15,02",0,"15,02",0,"15,02","0,93","12,955","12,955"
P,12/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,5,"4,33","11,00 %",,,"13,40%",7,BLEND,LAVADO,TEODOCIO CCOYCCA SALAZAR,TECC,1,PANTIWAYTA,,,,BL-LA-TECC-1,"19,43",0,"19,43",0,"19,43","-6,797","16,915","16,915"
P,16/01/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"4,7","4,1","10,00 %",,,"12,77%",8,GEISHA,LAVADO,ISAIAS LAGOS,ISLA,1,PANTIWAYTA,,,P 32,GE-LA-ISLA-1,"27,49",0,"27,49","8,05","27,49","-11,405","24,166","24,681"
6,16/01/2026,BL-LA-NN-EDGAR1,BLEND,LAVADO,NN,EDGAR,10,"8,35","15,00 %",,,"16,50%",9,GEISHA,LAVADO,ISAIAS LAGOS,ISLA,2,PANTIWAYTA,,TAZA DE EXCELENCIA,OVL 50,GE-LA-ISLA-2,12,0,12,0,12,"60,8","10,4","10,4"
7,16/01/2026,BL-LA-NN-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"10,145","8,94","9,00 %",,,"11,88%",10,GEISHA,LAVADO,ALFONSO YARANGA,ALYA,2,PANTIWAYTA,48H,,,GE-LA-ALYA-2,"6030,83","29,5","6030,83","16,9","6030,83","-6026,13","5256,779","5256,779"
8,16/01/2026,BL-LA-TECC-MARIO1,BLEND,LAVADO,TEODOCIO CCOYCCA SALA,MARIO,6,"5,29","9,00 %",,,"11,83%",11,GEISHA,LAVADO,MAXIMO,MACA,1,PANTIWAYTA,90H,CASI PREMIUM,,GE-LA-MACA-1,"3460,8",0,"3460,8","-2,525","3460,8","-3429,195","3022,485","3023,015"
9,22/01/2026,GE-LA-ABVI-PLOVER1,GEISHA,LAVADO,ABEL VILCAS,PLOVER,"8,06","6,91","12,00 %",,,"14,27%",12,GEISHA,LAVADO,MAXIMO,MACA,2,PANTIWAYTA,108H,PREMIUM,,GE-LA-MACA-2,8,"128,7",8,0,8,-8,"6,96","6,96"
10,22/01/2026,GE-LA-ABVI-INSPIRA1,GEISHA,LAVADO,ABEL VILCAS,INSPIRA,"8,06","6,91","12,00 %",,,"14,27%",13,TIPICA,LAVADO,ALFONSO YARANGA,ISLA,1,PANTIWAYTA,,,OVL 58,TI-LA-ALYA-1,0,7,0,0,0,0,0,0
11,22/01/2026,BL-LA-ANDE-WAMANKA2,BLEND,LAVADO,ANDER,WAMANKA,"20,25","17,16","13,00 %",,,"15,26%",14,BLEND,LAVADO,TEODOCIO CCOYCCA SALAZAR,ISLA,YIKYA1,YIKYA,,BLEND CHUNGI ESPECIAL,OVL 67,BL-LA-TECC-YIKYA1,0,0,0,0,0,"20,1",0,0
P,27/01/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,"3,5","3,055","11,00 %",,,"12,71%",15,BLEND,LAVADO,TEODOCIO CCOYCCA SALAZAR,ALYA,YIKYA2,YIKYA,,BLEND NORMAL,,BL-LA-TECC-YIKYA2,0,0,0,0,0,"7,5",0,0
P,27/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO CASTILLO,PANTIWAYTA,"4,5","3,905","11,00 %",,,"13,22%",16,BLEND,LAVADO,NN,ISLA,YIKYA1,YIKYA,,MUCHAS BOLSAS SIN INFORMACION POSIBLE BLEND,OVL 31,BL-LA-NN-YIKYA1,"52,47","40,25","52,47",25,"52,47","-16,75","45,395","45,395"
P,27/01/2026,GE-LA-ISLA-1,GEISHA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,6,"5,295","10,00 %",,,"11,75%",17,OBATA,LAVADO,ALFONZO EDUARDO,ALYA,1,PANTIWAYTA,,CRCE-040,,OB-LA-ALED-1,0,"6,8",0,0,0,0,0,0
P,27/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,6,"5,235","11,00 %",,,"12,75%",18,TIPICA,LAVADO,GREGORIO HUARACA,ISLA,1,PANTIWAYTA,,CRCE-051,P 18,TI-LA-GRHU-1,0,"6,8",0,0,0,0,0,0
12,27/01/2026,GR-LA-ANDE-TAYERI1,GRAN COLOMBIA,LAVADO,ANDER,TAYERI,"5,935","5,13","12,00 %",,,"13,56%",19,OBATA,HONEY,ABEL VILCAS,TECC,ISSAC1,ISSAC,,,,OB-HO-ABVI-ISSAC1,"5,535",0,"5,535",0,"5,535",0,"4,925",0
P,26/01/2026,GE-LA-ALYA-1,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,3,"2,585","11,00 %",,,"13,83%",20,TIPICA,NATURAL,ABEL VILCAS,ISLA,ISSAC1,ISSAC,,,P 33,TI-NA-ABVI-ISSAC1,"19,485",0,"19,485",0,"19,485",0,"16,855",0
P,30/01/2026,BL-LA-NN-1,SUPERBLEND,LAVADO,NN,PANTIWAYTA,"6,05","5,265","10,00 %",,,"12,98%",21,BLEND,LAVADO,ABEL VILCAS,ISLA,ISSAC1,ISSAC,,BLEND ROSITA,OVL 51,BL-LA-ABVI-ISSAC1,"59,315",0,"59,315",0,"59,315",0,"50,295","36,855"
P,30/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO CASTILLO,PANTIWAYTA,3,"2,625","10,00 %",,,"12,50%",22,GEISHA,LAVADO,ABEL VILCAS,ALYA,ISSAC1,ISSAC,,,,GE-LA-ABVI-ISSAC1,"80,21","46141,95","80,21","16,05","80,21","-56,14","69,645","62,71"
P,30/01/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,"4,03","3,53","11,00 %",,,"12,41%",23,PACAMARA,LAVADO,NN,MACA,YIKYA1,YIKYA,,,,PA-LA-NN-YIKYA1,0,2,0,0,0,0,0,0
P,30/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,"5,959","5,175","11,00 %",,,"13,16%",24,BLEND,LAVADO,NN,MACA,1,PANTIWAYTA,,SUPERBLEND,,BL-LA-NN-1,"17,35",0,"17,35",0,"17,35","-11,3","15,065","15,065"
13,31/01/2026,GR-LA-ANDE-TAYERI1,GRAN COLOMBIA,LAVADO,ANDER,TAYERI,"4,37","3,775","12,00 %",,,"13,62%",25,BLEND,LAVADO,NN,ISLA,EDGAR1,EDGAR,,NN,OVL 76,BL-LA-NN-EDGAR1,10,0,10,0,10,"0,03","8,35","8,35"
14,31/01/2026,BL-LA-NN-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"13,375","11,825","10,00 %",,,"11,59%",26,BLEND,LAVADO,NN,ISLA,WAMANKA1,WAMANKA,,BLEND CON BOURBON,OVL 85,BL-LA-NN-WAMANKA1,"44,695",0,"44,695",0,"44,695","-8,205","39,095","39,095"
15,10/02/2026,CA-LA-NN-RIMACHI1,CATURRA,LAVADO,NN,RIMACHI,5,"4,45","9,00 %",,,"11,00%",27,BLEND,LAVADO,TEODOCIO CCOYCCA SALAZAR,ALYA,MARIO1,MARIO,,BLEND CHUNGI,,BL-LA-TECC-MARIO1,30,0,30,0,30,0,"26,59","26,59"
16,10/02/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"7,925","7,01","10,00 %",,,"11,55%",28,GEISHA,LAVADO,ABEL VILCAS,ISLA,INSPIRA1,INSPIRA,,,OVL 32,GE-LA-ABVI-INSPIRA1,"8,06",0,"8,06",0,"8,06",0,"6,91","6,91"
17,6/02/2026,BL-LA-TECC-MARIO1,BLEND,LAVADO,TEODOCIO CCOYCCA SALA,MARIO,6,"5,335","9,00 %",,,"11,08%",29,GEISHA,LAVADO,ABEL VILCAS,ALYA,PLOVER1,PLOVER,,,,GE-LA-ABVI-PLOVER1,"16,05",0,"16,05",0,"16,05",0,"13,94","13,94"
P,2/02/2026,GE-LA-ALYA-1,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"4,5","3,895","11,00 %",,,"13,44%",30,BLEND,LAVADO,ANDER,ISLA,WAMANKA2,WAMANKA,,"POCA INFORMACION, DE ANDER",OVL 58,BL-LA-ANDE-WAMANKA2,"20,25",0,"20,25",0,"20,25","7,395","17,16","17,16"
18,15/02/2026,CA-LA-ISLA-MIROSHNIK1,CATIMOR,LAVADO,ISAIAS LAGOS,MIROSHNIK,"30,08","25,815","12,00 %",,,"14,18%",31,GRAN COLOMBIA,LAVADO,ANDER,ISLA,TAYERI1,TAYERI,,,OVL 67,GR-LA-ANDE-TAYERI1,"10,305",0,"10,305",0,"10,305",0,"8,905","8,905"
19,19/03/2026,BL-LA-NN-GEORGE1,BLEND,LAVADO,NN,GEORGE,"4,25","3,666","10,00 %",,,"13,74%",32,CATURRA,LAVADO,NN,ALYA,RIMACHI1,RIMACHI,,,,CA-LA-NN-RIMACHI1,"20,534",0,"20,534",0,"20,534","-0,534","18,158","18,158"
20,19/03/2026,BL-LA-NN-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"12,97","11,425","9,00 %",,,"11,91%",33,GEISHA ,LAVADO,ALIPIO CUADROS CORONADO,ISLA,YIKYA1,YIKYA,,,OVL 31,GE-LA-ALCU-YIKYA1,0,0,0,"24,65",0,0,0,0
21,20/03/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,"27,115","22,855","13,00 %",,,"15,71%",34,CATIMOR,LAVADO,ISAIAS LAGOS,ALYA,MIROSHNIK1,MIROSHNIK,,,,CA-LA-ISLA-MIROSHNIK1,"30,08",0,"30,08",0,"30,08","0,72","25,815","25,815"
22,20/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,8,"7,04","10,00 %",,,"12,00%",35,BLEND,LAVADO,NN,ISLA,GEORGE1,GEORGE,,,P 18,BL-LA-NN-GEORGE1,"20,68","5,2","20,68",0,"20,68","-16,43","17,931","17,931"
23,20/03/2026,GE-LA-ABVI-PLOVER1,GEISHA,LAVADO,ABEL VILCAS,PLOVER,"7,99","7,03","10,00 %",,,"12,02%",36,BLEND,LAVADO,JAVIER ,TECC,JAZE1,JAZE,,,,BL-LA-JAZE-JAZE1,0,0,0,"131,2",0,0,0,0
27,25/03/2026,PA-LA-NN-RONY1,PACAMARA,LAVADO,NN,RONY,"8,34","7,23","11,00 %",,,"13,31%",37,BLEND,LAVADO,JAVIER ,ISLA,JAZE2,JAZE,,,P 33,BL-LA-JAZE-JAZE2,9,0,9,0,9,"38,95","7,695","7,695"
P,25/03/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,3,"2,645","10,00 %",,,"11,83%",38,BLEND,NATURAL,JAVIER ,ISLA,JAZE1,JAZE,,,OVL 51,BL-NA-JAZE-JAZE1,"11,47",0,"11,47",0,"11,47",0,"9,85","9,85"
P,25/03/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,6,"5,214",,,,"13,10%",39,PACAMARA,LAVADO,NN,ALYA,RONY1,RONY,,,,PA-LA-NN-RONY1,"8,34",-1,"8,34","-3,06","8,34","3,06","7,23","7,23"
P,25/03/2026,BL-NA-JAZE-JAZE1,BLEND,NATURAL,JAVIER,JAVIER,"5,735","4,925","12,00 %",,,"14,12%",40,BOURBON,LAVADO,NN,MACA,WAMANKA1,WAMANKA,,,,BO-LA-NN-WAMANKA1,"5,155",0,"5,155",0,"5,155",0,"4,395","4,395"
28,25/03/2026,BL-LA-NN-YIKYA1,BLEND,LAVADO,NN,YIKYA,"35,72","31,04","9,00 %",,,"13,10%",41,BLEND,LAVADO,NN,MACA,ANDER1,ANDER,,,,BL-LA-NN-ANDER1,"1,937",0,"1,937",0,"1,937",0,"1,667","1,667"
25,25/03/2026,BL-LA-JAZE-JAZE2,BLEND,LAVADO,JAVIER,JAVIER,9,"7,695","12,00 %",,,"14,50%",42,,,,ISLA,,,,,OVL 76,---,0,0,0,0,0,0,0,0
29,31/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"16,005","14,045","10,00 %",,,"12,25%",43,,,,ISLA,,,,,OVL 85,---,0,0,0,0,0,0,0,0
P,31/03/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO CASTILLO,PANTIWAYTA,"3,3","2,855","10,00 %",,,"13,48%",44,,,,ALYA,,,,,,---,0,0,0,0,0,0,0,0
30,31/03/2026,BO-LA-NN-WAMANKA1,BOURBON,LAVADO,NN,WAMANKA,"5,155","4,395","13,00 %",,,"14,74%",45,,,,ISLA,,,,,OVL 32,---,0,0,0,0,0,0,0,0
31,31/03/2026,BL-NA-JAZE-JAZE1,NATURAL,NATURAL,NN,JAVIER,"5,735","4,925","12,20 %",0,0,"14,12%",46,,,,ALYA,,,,,,---,0,0,0,0,0,0,0,0
P,2/02/2026,BO-LA-ISLA-1,Bourbon,Lavado,Isaias lagos,PANTIWAYTA,"3,002","2,64","11,40 %",66,0,"12,06%",47,,,,ISLA,,,,,P 19,---,0,0,0,0,0,0,0,0
P,6/02/2026,GE-LA-ALYA-1,GEISHA,Lavado,ALfonso Yaranga,PANTIWAYTA,"4,21","3,625","11,20 %",0,0,"13,90%",48,,,,TECC,,,,,,---,0,0,0,0,0,0,0,0
P,6/02/2026,GE-LA-ISLA-1,GEISHA,Lavado,Isaias lagos,PANTIWAYTA,3,"2,65","10,30 %",0,0,"11,67%",49,,,,ISLA,,,,,P 34,---,0,0,0,0,0,0,0,0
P,6/02/2026,OB-LA-ISLA-1,Obata ,Lavado,Isaias lagos,PANTIWAYTA,6,"5,2","11,10 %",0,0,"13,33%",,,,,,,,,,,,,,,,,,,
P,6/02/2026,OB-LA-ISLA-1,Obata ,Lavado,Isaias lagos,PANTIWAYTA,6,"5,2","11,10 %",0,0,"13,33%",,,,,,,,,,,,,,,,,,,
P,15/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,15,"13,035","11,30 %",0,0,"13,30%",,,,,,,,,,,,,,,,,,,
32,16/02/2026,BL-LA-TECC-MARIO1,BLEND,Lavado,TEODOSIO,MARIO,6,"5,335","9,00 %",0,0,"11,08%",,,,,,,,,,,,,,,,,,,
33,16/02/2026,CA-LA-NN-RIMACHI1,CATURRA,Lavado,NN,RIMACHI ,5,"4,4","10,00 %",0,0,"12,00%",,,,,,,,,,,,,,,,,,,
P,16/02/2026,GE-LA-ISLA-1,GEISHA,Lavado,ISAIAS LAGOS,PANTIWAYTA,"11,4","10,035","10,10 %",0,0,"12,11%",,,,,,,,,,,,,,,,,,,
P,16/02/2026,GE-LA-MACA-1,GEISHA,Lavado,MAXIMO CASTILLO,PANTIWAYTA,12,"10,485","10,40 %",0,0,"12,75%",,,,,,,,,,,,,,,,,,,
P,16/02/2026,GE-NA-ISLA-1,GEISHA,Natural,ISAIAS LAGOS,PANTIWAYTA,12,"10,485","11,10 %",0,0,"12,75%",,,,,,,,,,,,,,,,,,,
P,18/02/2026,BL-LA-NN-1,SUPERBLEND,Lavado,NN,PANTIWAYTA,"5,995","5,23","10,20 %",0,0,"12,76%",,,,,,,,,,,,,,,,,,,
P,18/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,"8,02","6,99","11,40 %",0,0,"12,84%",,,,,,,,,,,,,,,,,,,
34,25/02/2026,BL-LA-NN-YIKYA1,BLEND,Lavado,NN,YIKYA,"7,475","6,48","11,00 %",0,0,"13,31%",,,,,,,,,,,,,,,,,,,
P,25/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,8,"6,985","10,80 %",0,0,"12,69%",,,,,,,,,,,,,,,,,,,
35,3/03/2026,BL-LA-TECC-MARIO1,BLEND,Lavado,Teodosio,MARIO,6,"5,35","9,00 %",0,0,"10,83%",,,,,,,,,,,,,,,,,,,
P,3/03/2026,CA-LA-ALYA-1,CATIMOR,Lavado,ALFONSO YARANGA,PANTIWAYTA,"5,965","5,205","9,60 %",0,0,"12,74%",,,,,,,,,,,,,,,,,,,
P,3/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,Lavado,Abel Vilcas,PANTIWAYTA,"15,99","14,115","10,00 %",0,0,"11,83%",,,,,,,,,,,,,,,,,,,
P,3/03/2026,GE-LA-ALYA-1,GEISHA,lavado,Alfonso Yaranga,PANTIWAYTA,6,"5,235","10,40 %",0,0,"12,75%",,,,,,,,,,,,,,,,,,,
P,3/03/2026,OB-LA-ISLA-1,OBATA,Lavado,Isaias Lagos,PANTIWAYTA,6,"5,22","11,00 %",0,0,"13,00%",,,,,,,,,,,,,,,,,,,
36,5/03/2026,BL-LA-NN-GEORGE1,BLEND,Lavado,NN,GEORGE,"3,895","3,405","9,60 %",0,0,"12,58%",,,,,,,,,,,,,,,,,,,
37,5/03/2026,BL-LA-NN-YIKYA1,BLEND,Lavado,NN,YIKYA,"9,275","7,875","12,60 %",0,0,"15,19%",,,,,,,,,,,,,,,,,,,
38,5/03/2026,CA-LA-NN-RIMACHI1,CATURRA,Lavado,NN,RIMACHI ,5,"4,43","9,30 %",0,0,"11,40%",,,,,,,,,,,,,,,,,,,
P,5/03/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS,PANTIWAYTA,"7,995","6,955","11,10 %",0,0,"13,25%",,,,,,,,,,,,,,,,,,,
P,9/03/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,3,"2,625","11,30 %",660,0,"12,50%",,,,,,,,,,,,,,,,,,,
P,9/03/2026,CA-LA-ALYA-1,CATIMOR,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"0,6","0,5295","10,00 %",680,0,"11,75%",,,,,,,,,,,,,,,,,,,
P,9/03/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS,PANTIWAYTA,6,"5,195","11,20 %",680,0,"13,42%",,,,,,,,,,,,,,,,,,,
39,18/03/2026,BL-LA-TECC-MARIO1,BLEND,LAVADO,TEODOSIO,MARIO,6,"5,28","9,00 %",0,0,"11,41%",,,,,,,,,,,,,,,,,,,
P,2/04/2026,GE-LA-ALYA-2,GEISHA,LAvado,ALFONSO YARANGA,PANTIWAYTA,6000,5230,"10,20%",0,0,"12,83%",,,,,,,,,,,,,,,,,,,
P,2/04/2026,GE-LA-MACA-1,GEISHA,Lavado,MAXIMO,PANTIWAYTA,3435,3000,"10,00%",0,0,"12,66%",,,,,,,,,,,,,,,,,,,
