CAFEZASO FEBRERO 2026,,,40,,,30,,,,,,,,"0,85",,,,,
,,,GRANDES,CU,,GRAMOS,TOTAL GRAMOS,PEQUES,CU,,GRAMOS,TOTAL GRAMOS,TOTAL TOSTADO,VERDE NECESARIO,VENTA TOTAL,,,,
,GEISHA ISAIAS,,30,40,1200,200,6000,20,25,500,125,2500,8500,10000,1700,,12,4000,3
,OBATA,,35,35,1225,250,8750,20,20,400,125,2500,11250,"13235,29412",1625,,15,5000,3
,GEISHA MAXIMO,,30,40,1200,200,6000,20,25,500,125,2500,8500,10000,1700,,,4000,3
,NATURAL,,30,40,1200,200,6000,20,25,500,125,2500,8500,10000,1700,,,4000,3
,,,,,,,,,,,,,,,6725,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INVERSION,,,,,,,,,,,,,,,,,,,
,STAND,2000,,,,,,,,,,,,,,,,,
,CARRO,500,,,,,,,,,,,,,,,,,
,VIATICOS,500,,,,,,,,,,,,,,,,,
,BOLSAS Y ACCESORIOS,500,,,,,,,,,,,,,,,,,
,TRUPAN,1000,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,4500,,,,,,,,,,,,,,,,,
,,,,,,,,,75,,,,,,,,,,
,,,,,,,,,,densidad,curva,,TT,precio oro verde limpio,pergamino,,,,
,,,,,,,,6,bourbon,68,"""+0.005 205,5 d12""",,,80,,,,,
5,blend chungi,6,,,,,si,5,cafe taza isaias,"67,5","""+0.005 206 d12""",5:55,,,,,,,
3,geisha abel vilcas,16,5.3,5.3,,menos,retueste,4,maximo premium,68,"""+0.005 205,5 d12""",,6:52,100,80,,,,
2,Obata ,5,,,,,,3,maximo casi premium,68,"""+0.005 206,5 d12""",,,,,,,,
1,catimor alfonso,6,,,,,,2,deysi geisha,,,,,,,,,,
4,geisha la alfo ya,5,,,,6:00,retuesto,1,rimachi taza suprema,70,"""+0.01 203,5 d12""",,,,,,,,
,,,,,,,,7,rimachi espresso,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,george,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,rimachi 5kg,,,,,,,,,,,,,,,,,,
,deysi 4640,,,,,,,,,,,,,,,,,,
,deysi 4640,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REQUERIMIENTO 23,,,,,,,,,,,,,,,,,,,
PEDIDOS DE JAVIER (PAPA RONI),,TRILLA,CONTROL DE STOCK,,,,,,,,,,,,,,,,
MAXIMO,,TODO LO Q HAY,,,,,,,,,,,,,,,,,
LUIS,,3KG OBATA,,,,,,,,,,,,,,,,,
ESPRESSO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,5400,1800,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REQUERIMIENTO PARA EL 8,,,,,,,,,,,,,,,,,,,
CAFE DE GEORGE,,,,,,,,,,,,,,,,,,,
OBATA 6KG,,,,,,,,,,,,,,,,,,,
VERIFICAR NATURAL,,,,,,,,,,,,,,,,,,,
GEISHA DE MAXIMO,,,,,,,,,,,,,,,,,,,
BOURBON,,,,,,,,,,,,,,,,,,,
GEISHA DE ISAIAS TAZA Y FLORAL VERIFICAR STOCK DE FLORAL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REQUERIMIENTO 11/4,,,,,,,,,,,,,,,,,,,
15KG PARA MISKSI,,TODO,,,,,,,,,,,,,,,,,
5KG,,TODO,,,,,,,,,,,,,,,,,
MIROSHNIK ,,20,,,,,,,,,,,,,,,,,
