Fecha,CODIGO CAFE,Variedad,PROCESO,PRODUCTOR,CLIENTE,SUM de GC,SUM de RC,MAX de B Moist,MAX de B Density,MAX de AWx1000,MAX de %LW
,,,,,,0,#DIV/0!,"0,00%",0,0,#DIV/0!
1/01/2026,BL-LA-TECC-1,BLEND,LAVADO,TEODOSIO,PANTIWAYTA,"6,55","5,82","9,10%",0,0,"11,15%"
1/01/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,"3,003","2,62","0,00%",0,0,"12,75%"
1/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,4,"3,485","11,00%",0,0,"12,88%"
5/01/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,16,"13,44","14,20%",0,0,"16,00%"
5/01/2026,OB-HO-ABVI-ISSAC1,OBATA,HONEY,ABEL VILCAS,ISSAC,"5,535","4,925","9,70%",0,0,"11,02%"
5/01/2026,TI-NA-ABVI-ISSAC1,TIPICA,NATURAL,ABEL VILCAS,ISSAC,"19,485","16,855","12,00%",0,0,"13,55%"
6/01/2026,BL-LA-TECC-1,BLEND,LAVADO,TEODOSIO,YIKYA,"10,01","8,545","11,00%",0,0,"14,64%"
6/01/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"8,145","6,935","12,80%",0,0,"14,86%"
6/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,4,"3,48","10,60%",0,0,"13,00%"
12/01/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,"16,22",14,"12,50%",0,0,"13,87%"
12/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO,PANTIWAYTA,3,"2,615","10,00%",0,0,"12,83%"
12/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,5,"4,33","10,70%",0,0,"13,40%"
15/01/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"4,72","4,1","10,00%",0,0,"13,14%"
16/01/2026,BL-LA-NN-EDGAR1,BLEND ,LAVADO,NN,EDGAR,"10,03","8,35","14,70%",0,0,"16,85%"
16/01/2026,BL-LA-TECC-1,BLEND,LAVADO,TEODOSIO,MARIO,6,"5,29","9,20%",0,0,"11,83%"
16/01/2026,BO-LA-NN-WAMANKA1,BOURBON,LAVADO,NN,WAMANKA,"10,145","8,94","9,40%",0,0,"11,88%"
22/01/2026,BL-LA-ANDE-WAMANKA2,BLEND ,LAVADO,ANDER ESPINO,WAMANKA,"20,25","17,16","13,00%",0,0,"15,26%"
22/01/2026,BL-LA-TECC-1,BLEND ,LAVADO,TEODOSIO,PANTIWAYTA,"2,87","2,55","9,40%",0,0,"11,15%"
22/01/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"16,12","13,825","12,30%",0,0,"14,34%"
26/01/2026,BL-LA-NN-GEORGE1,BLEND,LAVADO,NN,NN,"4,2","3,595","12,30%",0,0,"14,40%"
26/01/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,3,"2,585","11,30%",0,0,"13,83%"
26/01/2026,GE-LA-ISLA-1,GEISHA ,LAVADO,ISAIAS LAGOS,PANTIWAYTA,6,"5,295","10,00%",0,0,"11,75%"
26/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO,PANTIWAYTA,"4,5","3,905","10,80%",0,0,"13,22%"
26/01/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,"3,5","3,055","11,20%",0,0,"12,71%"
26/01/2026,GR-LA-ANDE-TAYERI1,GRAN COLOMBIA,LAVADO,ANDER ESPINO,TAYERI,"5,935","5,13","11,80%",0,0,"13,56%"
26/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,6,"5,15","10,70%",0,0,"14,17%"
30/01/2026,BL-LA-NN-1,SUPERBLEND,LAVADO,NN,,"6,055","5,265","9,90%",0,0,"13,05%"
30/01/2026,GE-LA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,,"4,03","3,53","11,20%",0,0,"12,41%"
30/01/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO,,3,"2,625","10,40%",0,0,"12,50%"
30/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,,"5,95","5,175","10,70%",0,0,"13,03%"
31/01/2026,BL-LA-NN-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"13,375","11,825","9,60%",0,0,"11,69%"
31/01/2026,GR-LA-ANDE-TAYERI1,GRAN COLOMBIA,LAVADO,ANDER,TAYERI,"4,37","3,775","11,60%",0,0,"13,62%"
2/02/2026,BO-LA-ISLA-1,BOURBON,Lavado,Isaias lagos,PANTIWAYTA,"3,002","2,64","11,40%",66,0,"12,06%"
2/02/2026,GE-LA-ALYA-1,GEISHA,Lavado,ALFONSO YARANGA,PANTIWAYTA,"4,5","3,895","11,30%","66,5",0,"13,44%"
6/02/2026,BL-LA-TECC-1,Blend ,Lavado,Teodosio,MARIO,6,"5,335","9,00%",0,0,"11,08%"
6/02/2026,GE-LA-ALYA-1,GEISHA,Lavado,ALfonso Yaranga,PANTIWAYTA,"4,21","3,625","11,20%",0,0,"13,90%"
6/02/2026,GE-LA-ISLA-1,GEISHA,Lavado,ISAIAS LAGOS,PANTIWAYTA,3,"2,65","10,30%",0,0,"11,67%"
6/02/2026,OB-LA-ISLA-1,Obata ,Lavado,ISAIAS LAGOS,PANTIWAYTA,6,"5,2","11,10%",0,0,"13,33%"
10/02/2026,CA-LA-NN-RIMACHI1,CATURRA,Lavado,NN,DON FELICIANO,5,"4,45","9,00%",0,0,"11,00%"
10/02/2026,GE-LA-ABVI-ISSAC1,GEISHA,Lavado,Abel Vilcas,ISSAC,"7,925","7,01","10,00%",0,0,"11,59%"
15/02/2026,CA-LA-ALYA-1,CATIMOR,Lavado,ISAIAS LAGOS,MIROSHNIK,"30,08","25,815","12,10%",0,0,"14,42%"
15/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,15,"13,035","11,30%",0,0,"13,30%"
16/02/2026,BL-LA-TECC-MARIO1,BLEND,Lavado,TEODOSIO,MARIO,6,"5,335","0,00%",0,0,"11,08%"
16/02/2026,CA-LA-NN-RIMACHI1,CATURRA,Lavado,NN,RIMACHI ,5,"4,4","0,00%",0,0,"12,00%"
16/02/2026,GE-LA-ISLA-1,GEISHA,Lavado,ISAIAS LAGOS,PANTIWAYTA,"11,4","10,035","10,10%",0,0,"12,11%"
16/02/2026,GE-LA-MACA-1,GEISHA,Lavado,MAXIMO CASTILLO,PANTIWAYTA,12,"10,485","10,40%",0,0,"12,75%"
16/02/2026,GE-NA-ISLA-1,GEISHA,Natural,ISAIAS LAGOS,PANTIWAYTA,12,"10,485","11,10%",0,0,"12,75%"
18/02/2026,BL-LA-NN-1,SUPERBLEND,Lavado,NN,PANTIWAYTA,"5,995","5,23","10,20%",0,0,"12,76%"
18/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,"8,02","6,99","11,40%",0,0,"12,84%"
25/02/2026,BL-LA-NN-YIKYA1,BLEND,Lavado,NN,YIKYA,"7,475","6,48","11,00%",0,0,"13,31%"
25/02/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS LAGOS,PANTIWAYTA,8,"6,985","10,80%",0,0,"12,69%"
3/03/2026,BL-LA-TECC-MARIO1,BLEND,Lavado,Teodosio,MARIO,6,"5,35","9,00%",0,0,"10,83%"
3/03/2026,CA-LA-ALYA-1,CATIMOR,Lavado,ALFONSO YARANGA,PANTIWAYTA,"5,965","5,205","9,60%",0,0,"12,74%"
3/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,Lavado,Abel Vilcas,PANTIWAYTA,"15,99","14,115","10,00%",0,0,"11,83%"
3/03/2026,GE-LA-ALYA-1,GEISHA,lavado,Alfonso Yaranga,PANTIWAYTA,6,"5,235","10,40%",0,0,"12,75%"
3/03/2026,OB-LA-ISLA-1,OBATA,Lavado,Isaias Lagos,PANTIWAYTA,6,"5,22","11,00%",0,0,"13,00%"
5/03/2026,BL-LA-NN-GEORGE1,BLEND,Lavado,NN,GEORGE,"3,895","3,405","9,60%",0,0,"12,58%"
5/03/2026,BL-LA-NN-YIKYA1,BLEND,Lavado,,YIKYA,"9,275","7,875","12,60%",0,0,"15,19%"
5/03/2026,CA-LA-NN-RIMACHI1,CATURRA,Lavado,,RIMACHI ,5,"4,43","9,30%",0,0,"11,40%"
5/03/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS,PANTIWAYTA,"7,995","6,955","11,10%",0,0,"13,25%"
9/03/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,3,"2,625","11,30%",660,0,"12,50%"
9/03/2026,CA-LA-ALYA-1,CATIMOR,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"0,6","0,5295","10,00%",680,0,"11,75%"
9/03/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS,PANTIWAYTA,6,"5,195","11,20%",680,0,"13,42%"
18/03/2026,BL-LA-ANDE-WAMANKA1,BLEND,LAVADO,NN,WAMANKA,"12,97","11,425","9,20%",0,0,"11,95%"
18/03/2026,BL-LA-NN-GEORGE1,NN,LAVADO,NN,GEORGE,"4,245","3,66","9,90%",0,0,"13,78%"
18/03/2026,BL-LA-TECC-MARIO1,BLEND,LAVADO,TEODOSIO,MARIO,"5,96","5,28","9,00%",0,0,"11,41%"
19/03/2026,BL-LA-ABVI-ISSAC1,BLEND,LAVADO,ABEL VILCAS,ISSAC,"27,115","22,855","13,40%",0,0,"15,87%"
19/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"15,99","14,07","10,00%",0,0,"12,02%"
25/03/2026,BL-LA-JAZE-JAZE2,BLEND,LAVADO,JAVIER ,JAVIER,9,"7,695","11,60%",0,0,"14,50%"
25/03/2026,BL-LA-NN-YIKYA1,BLEND,Lavado,NN,YIKYA,"35,72","31,04","12,20%",0,0,"14,03%"
25/03/2026,BL-NA-JAZE-JAZE1,NATURAL,NATURAL,NN,JAVIER,"5,735","4,925","12,20%",0,0,"14,12%"
25/03/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,6,"5,215","10,00%",0,0,"13,08%"
25/03/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS,PANTIWAYTA,3,"2,615","11,00%",0,0,"12,83%"
25/03/2026,PA-LA-NN-RONY1,PACAMARA,LAVADO,NN,RONI,"8,34","7,23","11,20%",0,0,"13,31%"
31/03/2026,BL-NA-JAZE-JAZE1,NATURAL,NATURAL,NN,JAVIER,"5,735","4,925","12,20%",0,0,"14,12%"
31/03/2026,BO-LA-NN-WAMANKA1,BOURBON,Lavado,NN,WAMANKA,"5,155","4,395","13,00%",0,0,"14,74%"
31/03/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"16,005","14,045","10,20%",0,0,"12,43%"
31/03/2026,GE-LA-MACA-1,GEISHA,LAVADO,MAXIMO,PANTIWAYTA,"3,3","2,855","10,20%",0,0,"13,48%"
31/03/2026,OB-LA-ISLA-1,OBATA,Lavado,ISAIAS,MARIO,6,"5,2","11,00%",0,0,"13,33%"
2/04/2026,GE-LA-ALYA-2,GEISHA,LAvado,ALFONSO YARANGA,PANTIWAYTA,6,"5,23","10,20%",0,0,"12,83%"
2/04/2026,GE-LA-MACA-1,GEISHA,Lavado,MAXIMO,PANTIWAYTA,"3,4",3,"10,00%",0,0,"11,76%"
6/04/2026,BL-LA-NN-ANDER1,NN,LAVADO,NN,ANDER,"1,937","1,667","12,90%",0,0,"14,06%"
6/04/2026,CA-LA-NN-RIMACHI1,CATURRA,LAVADO,NN,RIMACHI ,"5,534","4,878","9,20%",0,0,"12,33%"
8/04/2026,BL-LA-NN-GEORGE1, BLEND,LAVADO,NN,GEORGE,"4,215","3,66","9,70%",0,0,"13,17%"
8/04/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,4,"3,485","0,00%",0,0,"12,88%"
8/04/2026,GE-LA-ALYA-1,GEISHA ,LAVADO,,PANTIWAYTA,6,"5,21","10,50%",0,0,"13,17%"
8/04/2026,GE-LA-ISLA-1,GEISHA ,LAVADO,ISAIAS,PANTIWAYTA,"2,845","2,505","10,40%",0,0,"11,95%"
8/04/2026,GE-LA-ISLA-2,GEISHA,LAVADO,ISAIAS,PANTIWAYTA,4,"3,465","11,00%",0,0,"13,38%"
8/04/2026,GE-LA-MACA-2,GEISHA ,LAVADO,MAXIMO,PANTIWAYTA,4,"3,475","10,20%",0,0,"13,13%"
8/04/2026,GE-NA-ISLA-1,GEISHA,LAVADO,NATURAL,PANTIWAYTA,4,"3,475","11,20%",0,0,"13,13%"
8/04/2026,OB-LA-ISLA-1,OBATA,LAVADO,,MARIO,6,"5,185","10,20%",0,0,"13,58%"
11/04/2026,CA-LA-ALYA-1,CATIMOR,LAVADO,ALFONSO,PANTIWAYTA,"7,065","6,155","10,00%",0,0,"12,88%"
11/04/2026,CA-LA-ALYA-MIROSHNIK1,CATIMOR,LAVADO,ISAIAS,MIROSHNIK,"20,135","17,295","12,00%",0,0,"14,12%"
11/04/2026,CA-LA-ISLA-1,CATIMOR,LAVADO,ISAIAS,MISKIWARMI,"15,02","12,955","10,00%",0,0,"14,00%"
13/04/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,4,"3,45","11,30%",0,0,"13,75%"
